"clusterType","clusterDimensions","cluster","nClusters","nFolios","cumRet","mu","sigma","skew","kurt","maxDD","ir","timingLoss","CPTUtility_100","utilityType"
"dbScan","ir_skew_maxDD",4,9,10,1.9140616079688,0.00357656188202163,0.011085334442951,0.839790766200284,17.6585730110333,13.8325665385087,0.32218758155653,-2.98360655737705,0.0036006005,"CPTUtility_100"
"dbScan","ir_skew_maxDD",7,9,7,1.8344400314686,0.00334423834378238,0.00914224587285741,-2.48875255036295,23.1202527979738,11.4365355125841,0.36600196372035,-3.90163934426229,0.00219552785714286,"CPTUtility_100"
"dbScan","ir_skew_maxDD",5,9,7,1.5371902443394,0.00235101051303544,0.00506283306449685,0.826855317501114,6.26424740210145,2.43880883342206,0.46448525795198,45.672131147541,0.002100238,"CPTUtility_100"
"dbScan","ir_skew_maxDD",6,9,13,1.89619458042865,0.00362366780448312,0.0169405830504865,1.30087152262189,16.4242966402533,17.4054242682431,0.21399395294825,-2.98360655737705,0.00419162376923077,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",1,8,2006,2.10390143064328,0.0041429955318556,0.0149616827807877,-1.0365985129534,10.2282478852766,21.4916170462857,0.28564533284437,-1.17055391203439,0.00257792866301097,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",3,8,1451,1.91221874564293,0.00358875115796584,0.012603849591997,-0.344284771940893,8.20409191552405,14.1729432471637,0.298535577625503,11.3094417643005,0.0028570770854583,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",5,8,1104,2.86200757378178,0.00617807703852672,0.0299824114902026,-1.04467674598424,11.0955223382586,54.0114328983881,0.207911817541745,-0.539261107151342,0.0043736524990942,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",7,8,906,1.84905762412277,0.00340796114598705,0.0122696926919622,0.51950176126476,10.501365173606,12.1787058017043,0.296419155463383,24.6520826547968,0.00341283986534216,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",6,8,1047,2.46000742797347,0.00504439029418571,0.0176345842961129,-1.76074710377087,16.1458862804582,26.2928265984906,0.291995639515156,-2.68899431631359,0.00323483144126075,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",8,8,618,3.22625726498744,0.00729101559625365,0.0423015587284934,-0.895236911872524,9.95338772607293,91.7442944058504,0.173852272155561,-0.135179585123879,0.00556569577831715,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",2,8,843,2.4066886537736,0.00542602124227461,0.0357193456223761,-0.789686958147007,6.87628036875147,80.1641206594408,0.153101949135295,-0.378702137175972,0.00126800589798339,"CPTUtility_100"
"kMeans","cumRet_sigma_skew_maxDD",4,8,2025,2.29722747896123,0.00479941360187818,0.0236854664566144,-0.938712657953963,9.3893158165798,42.7496632116376,0.205285208124544,-0.694418133980976,0.00227594176444444,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",1,8,1957,1.99767282147199,0.00383214407426388,0.0129853725645179,-0.817099553205903,9.00485775649559,16.2948770194439,0.304301951130029,1.87630783149183,0.00260947776852325,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",2,8,1477,1.8566404291353,0.00342498634295789,0.0122793655219347,0.270527761819332,9.66653535984309,12.5532461695419,0.296356033655603,22.9986126064131,0.00324443028774543,"CPTUtility_100"
"hierarchical","cumRet_sigma_skew_maxDD",3,8,1027,2.49703718605617,0.00552065842245408,0.0329580215127671,-0.899687914849204,8.03032797392851,69.109334651272,0.168699427057136,-0.449183520360113,0.00215984960272639,"CPTUtility_100"
