folio,CPTUtility_225,CPTUtility_100,CPTUtility_150,crraUtility_1,crraUtility_2,crraUtility_3,crraUtility_5,quadUtility_1,quadUtility_2,quadUtility_3,quadUtility_5
80,-0.008185445,0.003454099,-0.001201719,0.731700823,-0.481090045,-0.115723816,-0.013392001,0.003984576,0.003840024,0.003695471,0.003406365
81,-0.011645504,0.003970726,-0.002275766,0.785666745,-0.455815687,-0.10388397,-0.010791879,0.004279649,0.004043037,0.003806424,0.003333199
82,-0.004711695,0.00379048,0.00038961,0.667890487,-0.512789173,-0.131476368,-0.017286035,0.00363576,0.00355816,0.003480561,0.003325362
83,-0.01690554,0.001029212,-0.006144689,0.878158574,-0.415547408,-0.086339824,-0.007454565,0.004785786,0.004506046,0.004226306,0.003666825
84,-0.017950767,0.006721779,-0.003147239,1.178297869,-0.307802213,-0.047371101,-0.002244021,0.006433319,0.005718202,0.005003084,0.003572849
85,-0.011968586,0.001409131,-0.003941956,0.666896565,-0.513299099,-0.131737983,-0.017354896,0.003632623,0.003484667,0.003336711,0.003040799
86,-0.013408126,0.004244405,-0.002816608,0.975740572,-0.376913119,-0.07103175,-0.005045509,0.005320393,0.004983574,0.004646756,0.003973118
87,-0.006283966,0.004248692,3.56E-05,0.886904322,-0.411928981,-0.084842743,-0.007198291,0.00483225,0.004711665,0.00459108,0.004349909
88,-0.029976698,0.000870801,-0.011468199,0.886806106,-0.411969441,-0.08485941,-0.007201119,0.004843529,0.003928089,0.00301265,0.001181772
89,-0.01231255,0.006127547,-0.001248491,1.110786647,-0.329299816,-0.054219185,-0.00293972,0.006063349,0.005583371,0.005103393,0.004143438
90,-0.010842861,0.002462803,-0.002859463,0.742659781,-0.475846583,-0.113214985,-0.012817633,0.004044945,0.003903138,0.00376133,0.003477715
91,-0.025738822,0.002008072,-0.009090686,0.866117143,-0.420581441,-0.088444374,-0.007822407,0.00473299,0.003877868,0.003022745,0.001312499
92,-0.004467785,0.003323621,0.000207058,0.595010909,-0.551556549,-0.152107313,-0.023136635,0.003238531,0.003180273,0.003122015,0.003005498
93,-0.027193687,0.00205139,-0.009646641,0.978761426,-0.375776237,-0.07060389,-0.004984909,0.005344202,0.00453233,0.003720459,0.002096715
94,-0.015295117,0.001446612,-0.00525008,0.955313707,-0.384691445,-0.073993754,-0.005475076,0.005209812,0.004934465,0.004659117,0.004108422
95,-0.005744398,0.004015618,0.000111612,0.749447206,-0.472627746,-0.111688493,-0.01247432,0.004080522,0.003969898,0.003859274,0.003638026
