"clusterMethod","clusterDimension","utility","ust3m","ust10","tips","mbs","agency","usIGCredit","usHYCredit","cmbs","em","intlBond","spx","intlEq","emStock","reit"
"kMeans","ir_skew_kurt","CPTUtility_100",0.0794440177181968,0.0707109983498529,0.0376581114805632,0.0639912432682766,0.0909342603123663,0.0803842743781831,0.0299763434594169,0.406141553909551,0.0428700890480869,0.0755432360454086,0.00437078452743709,0.00564684508254943,0.00520481327988912,0.00712342914022231
"kMeans","cumRet_sigma_skew_kurt","CPTUtility_100",0.0144832761845736,0.0249225165652573,0.0320022731764648,0.0219794252265309,0.0293802325169829,0.0376483733014568,0.0808339503721383,0.0400897695371661,0.0612382022281029,0.0250465536869978,0.0663706660580459,0.0499143657712962,0.106603213671276,0.40948718170371
"hierarchical","ir_skew_kurt","CPTUtility_100",0.101505571575805,0.0155161812638698,0.0388850697116441,0.027392168096405,0.0325644844588163,0.0518900226300625,0.111190828720335,0.414917744786506,0.151186612233206,0.0261862859109927,0.00559854974275572,0.00558417110992811,0.00466107272438508,0.0129212370352887
"hierarchical","cumRet_sigma_skew_kurt","CPTUtility_100",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
"dbScan","ir_skew_kurt","CPTUtility_100",0,0.3806177274324,0,0,0,0,0,0.552181617409224,0.00682625335175544,0.057770358241396,0.00183198149316014,0.000772062072064733,0,0
"dbScan","cumRet_sigma_skew_kurt","CPTUtility_100",0,0.00141755474138666,0,0,0.00603605505417694,0,0.0188314674972472,0,0.475286661181599,0,0.00438379202546044,0,0.0011185677552765,0.492925901744853
"kMeans","ir_skew_kurt","crraUtility_1",0.0494250625203405,0.0570671518928341,0.10530647292636,0.0584105582018196,0.0567887403891315,0.0827820697715879,0.08929921001728,0.0743103305236531,0.0718431544339629,0.0514011960135163,0.0903427431819167,0.0649549135700875,0.0352893082888205,0.112779088268689
"kMeans","cumRet_sigma_skew_kurt","crraUtility_1",0.015115077755797,0.026194310372164,0.0376581713376925,0.029727193168295,0.030469593959652,0.0404640566177703,0.0900884365627409,0.0451115317226065,0.0687905380726293,0.0251455688422042,0.0730051412194995,0.047390919698288,0.0998357611609496,0.371003699509711
"hierarchical","ir_skew_kurt","crraUtility_1",0.0582654856963641,0.0365836140762768,0.109641883399503,0.0515343452021949,0.0450974563895834,0.0812753188045615,0.142907706537974,0.0600893947981994,0.157610490140005,0.0381919631670188,0.0698969528463478,0.0477202103070059,0.0263281614120278,0.0748570172229376
"hierarchical","cumRet_sigma_skew_kurt","crraUtility_1",0.0165829484694802,0.029957058177198,0.0382117470959925,0.0320632502353123,0.0333777837470457,0.0411216570955617,0.0894044907844947,0.0398339345214255,0.0654888837232026,0.0286803852044399,0.0732346995161002,0.0484466436202638,0.103734474226663,0.35986204358282
